ticker,cik
TREDEGAR CORP,0000850429
MAVERICK TUBE CORP,0000869087
BELL MICROPRODUCTS INC,0000900708
AVENUE A INC,0001071806
RESORTQUEST INTERNATIONAL INC,0001057507
IMMTECH INTERNATIONAL INC,0000882509
FAIRMARKET INC,0001053676
FEDERAL HOME LOAN MORTGAGE CORP,0001026214
INTERWEST HOME MEDICAL INC,0000789092
MERCURY COMPUTER SYSTEMS,0001049521
COSINE COMMUNICATIONS INC,0001060824
ONE VOICE TECHNOLOGIES INC,0001096088
NHANCEMENT TECHNOLOGIES INC,0001025985
MEDICAL ACTION INDUSTRIES INC,0000748270
LYDALL INC,0000060977
BERKLEY W R CORP,0000011544
BIOLASE TECHNOLOGY INC,0000811240
AMERICAN CAPITAL STRATEGIES LTD,0000817473
TIDEL TECHNOLOGIES INC,0000842695
SONUS NETWORKS INC,0001105472
DAILY JOURNAL CORP,0000783412
FLANIGANS ENTERPRISES INC,0000012040
AVISTA CORP,0000104918
STERICYCLE INC,0000861878
NET4MUSIC INC,0000920707
CENTURYTEL INC,0000018926
CENTRAL PARKING CORP,0000949298
SUIZA FOODS CORP,0000931336
ENDOREX CORP,0000812796
COMDISCO INC,0000722487
TERAYON COMMUNICATION SYSTEMS,0001052303
DUSA PHARMACEUTICALS INC,0000879993
AIRNET SYSTEMS INC,0001011696
MOTIENT CORP,0000913665
V3 SEMICONDUCTOR INC,0001063199
TFC ENTERPRISES INC,0000913958
EDGAR ONLINE INC,0001080224
HAWKINS CHEMICAL INC,0000046250
KORN FERRY INTERNATIONAL,0000056679
TENFOLD CORP,0001051118
DOVER DOWNS ENTERTAINMENT INC,0001017673
CADAPULT GRAPHIC SYSTEMS INC,0001024022
ATCHISON CASTING CORP,0000911115
SEPRACOR INC,0000877357
PERFICIENT INC,0001085869
RATEXCHANGE CORP,0000826683
GIGA TRONICS INC,0000719274
BARRETT BUSINESS SERVICES INC,0000902791
NOVITRON INTERNATIONAL INC,0000716646
QUANTUM CORP,0000709283
MICROMUSE INC,0001036425
BANNER ACQUISITION CORP,0001852332
CHYRON CORP,0000020232
CHALONE WINE GROUP LTD,0000742685
SPHERION CORP,0000914536
EMMIS COMMUNICATIONS CORP,0000783005
OUTLOOK GROUP CORP,0000867490
AMERICAN SUPERCONDUCTOR CORP,0000880807
FOOD TECHNOLOGY SERVICE INC,0000868267
INCARA PHARMACEUTICALS CORP,0000936538
SUPERTEX INC,0000730000
STRIDE RITE CORP,0000094887
INDIVIDUAL INVESTOR GROUP INC,0000880631
STRATUS PROPERTIES INC,0000885508
NORTECH SYSTEMS INC,0000722313
ZAMBA CORP,0000883741
OMNICARE INC,0000353230
SOUTHWEST WATER CO,0000092472
CLARCOR INC,0000020740
DOMINION HOMES INC,0000917857
UNISYS CORP,0000746838
CHECKPOINT SYSTEMS INC,0000215419
INTERGRAPH CORP,0000351145
FINISHMASTER INC,0000917321
ENRON CORP,0001024401
EMERGING VISION INC,0001002554
SUMMIT BANK CORP,0000820067
COAST DISTRIBUTION SYSTEM INC,0000728303
GOAMERICA INC,0001101268
WATTS INDUSTRIES INC,0000795403
DIODES INC,0000029002
MECHANICAL TECHNOLOGY INC,0000064463
STREICHER MOBILE FUELING INC,0001024452
NET2PHONE INC,0001086472
C T HOLDINGS INC,0001140098
INTERSECTIONS INC,0001095277
ATRIX LABORATORIES INC,0000809875
SPORTSMANS GUIDE INC,0000791450
PEC SOLUTIONS INC,0001103013
DAWSON GEOPHYSICAL CO,0000351231
CONVERGYS CORP,0001062047
TEKGRAF INC,0001044167
LECHTERS INC,0000798186
HON INDUSTRIES INC,0000048287
SYMMETRICOM INC,0000082628
COLUMBIA BANKING SYSTEM INC,0000887343
ROCKY SHOES & BOOTS INC,0000895456
FUELCELL ENERGY INC,0000886128
WILSON GREATBATCH TECH,0001114483
SUPERCONDUCTOR TECHNOLOGIES INC,0000895665
AFFYMETRIX INC,0000913077
EASYRIDERS INC,0001065253
WEYCO GROUP INC,0000106532
VISUAL NETWORKS INC,0001000495
COOPER COMPANIES INC,0000711404
AMERITRANS CAPITAL CORP,0001064015
AMERIGON INC,0000903129
INTRANET SOLUTIONS INC,0000867347
WINNEBAGO INDUSTRIES INC,0000107687
SPORT SUPPLY GROUP INC,0000872855
CORN PRODUCTS INTERNATIONAL INC,0001046257
NYFIX INC,0000099047
SONIC INNOVATIONS INC,0001105982
LOOKSMART LTD,0001077866
ACETO CORP,0000002034
DELTAGEN INC,0001034072
KRONOS INC,0000886903
XICOR INC,0000319191
PEAPACK GLADSTONE FINANCIAL CORP,0001050743
BRUNSWICK BANCORP,0000771614
ALLOU HEALTH & BEAUTY CARE INC,0000846538
WATSCO INC,0000105016
PROMEDCO MANAGEMENT CO,0001011630
WAYPOINT FINANCIAL CORP,0001034650
SPECTRALINK CORP,0000894268
FOREST OIL CORP,0000038079
WAVE SYSTEMS CORP,0000919013
ORBIT FR INC,0001037115
CHAMPION ENTERPRISES INC,0000814068
GREATER BAY BANCORP,0000775473
OHIO ART CO,0000073942
LOGICVISION INC,0001041418
VIEWCAST COM INC,0000921313
POLO RALPH LAUREN CORP,0001037038
GREEN MOUNTAIN COFFEE INC,0000909954
STANDARD MOTOR PRODUCTS INC,0000093389
COMPX INTERNATIONAL INC,0001049606
CASTLE A M & CO,0000018172
ISRAMCO INC,0000719209
RURAL CELLULAR CORP,0000869561
HUTTIG BUILDING PRODUCTS INC,0001093082
INTEGRA BANK CORP,0000764241
PARK NATIONAL CORP,0000805676
COMMSCOPE INC,0001035884
STARRETT L S CO,0000093676
THOMAS & BETTS CORP,0000097854
HARRINGTON FINANCIAL GROUP INC,0000934203
HOST AMERICA CORP,0000809012
GLACIER WATER SERVICES INC,0000883505
VISTEON CORP,0001111335
SPARTAN MOTORS INC,0000743238
AMKOR TECHNOLOGY INC,0001047127
HALL KINION & ASSOCIATES INC,0001009657
COMSHARE INC,0000201513
ZOLTEK COMPANIES INC,0000890923
WESTERN SIERRA BANCORP,0001072688
CROWN CASTLE INTERNATIONAL CORP,0001051470
WEST PHARMACEUTICAL SERVICES INC,0000105770
OPUS360 CORP,0001099674
CAPITAL CITY BANK GROUP,0000726601
WOODHEAD INDUSTRIES INC,0000108215
INSCI CORP,0000878612
APACHE MEDICAL SYSTEMS INC,0000883697
CAL DIVE INTERNATIONAL INC,0000866829
ANTENNA PRODUCTS INC,0000724267
MICHAELS STORES INC,0000740670
U S LABORATORIES INC,0001068891
KINARK CORP,0000055805
DIGITAL RIVER INC,0001062530
CONSECO INC,0000719241
VENTRO CORP,0001047499
MYPOINTS COM INC,0001082797
HIGHLANDS INSURANCE GROUP INC,0001002816
EURONET SERVICES INC,0001029199
SIX FLAGS INC,0000701374
CYRK INC,0000864264
TECHNE CORP,0000842023
INDIANA UNITED BANCORP,0000720002
TANGRAM ENTERPRISE SOLUTIONS INC,0000804121
DIASYS CORP,0000916380
GREAT AMERICAN BANCORP INC,0000943064
NEOSE TECHNOLOGIES INC,0000877902
UNOVA INC,0001044590
HOOPER HOLMES INC,0000741815
COMDIAL CORP,0000230131
FURRS RESTAURANT GROUP INC,0000872548
EVERGREEN RESOURCES INC,0000353943
EON COMMUNICATIONS CORP,0001084752
ROYALE ENERGY INC,0000864839
SEMCO ENERGY INC,0000277158
RACING CHAMPIONS CORP,0001034239
CAMBREX CORP,0000820081
ST MARY LAND & EXPLORATION CO,0000893538
FIRST MIDWEST FINANCIAL INC,0000907471
FACTSET RESEARCH SYSTEMS INC,0001013237
CAPITAL SENIOR LIVING CORP,0001043000
GLOBAL TECHNOLOGIES LTD,0000932021
WEBMD CORP,0001009575
BARNES & NOBLE INC,0000890491
SMITH & WESSON HOLDING CORP,0001092796
READERS DIGEST ASSOCIATION INC,0000858558
INTELLIGROUP INC,0001016439
CONCERO INC,0001030487
BANNER CORP,0000946673
VICAL INC,0000819050
INFINITE GROUP INC,0000884650
AMERCO,0000004457
TELEFLEX INC,0000096943
BRITTON & KOONTZ CAPITAL CORP,0001285441
BRADLEES INC,0000887356
SOUND FEDERAL BANCORP,0001064236
