,CIK,Date,Amount A,Amount D,sec_alpha,PERMNO
0,0000002034,2018-01,0.0,3091.0,0.9,10656
1,0000002034,2018-02,600001.0,0.0,1.1,10656
2,0000002034,2018-07,0.0,82585.0,0.9,10656
3,0000002034,2018-08,0.0,70001.0,0.9,10656
4,0000002034,2018-09,0.0,279166.0,0.9,10656
5,0000002034,2018-10,97864.0,42718.0,1.1,10656
6,0000002034,2018-12,0.0,1831.0,0.9,10656
7,0000002034,2019-02,0.0,47130.0,0.9,10656
8,0000002034,2019-10,0.0,4984144.0,0.9,10656
9,0000004457,2018-02,1000.0,0.0,1.1,81073
10,0000004457,2018-06,0.0,50.0,0.9,81073
11,0000004457,2018-07,0.0,2419.21,0.9,81073
12,0000004457,2018-08,200.0,0.0,1.1,81073
13,0000004457,2018-10,0.0,75.0,0.9,81073
14,0000004457,2019-03,0.0,86.0,0.9,81073
15,0000004457,2019-09,0.0,8446.0,0.9,81073
16,0000004457,2019-12,1910.0,6064.792,0.9,81073
17,0000004457,2020-02,25260.0,0.0,1.1,81073
18,0000004457,2020-03,60575.0,0.0,1.1,81073
19,0000004457,2020-12,15135.0,5000.0,1.1,81073
20,0000004457,2021-03,0.0,100.0,0.9,81073
21,0000004457,2021-06,245435.0,1875.0,1.1,81073
22,0000004457,2021-12,72240.0,40960.0,1.1,81073
23,0000004457,2022-06,200.0,0.0,1.1,81073
24,0000004457,2022-11,3228048.0,0.0,1.1,81073
25,0000004457,2022-12,744900.0,0.0,1.1,81073
26,0000004457,2023-01,36.52981,0.0,1.1,81073
27,0000004457,2023-02,180.0,3000.0,0.9,81073
28,0000004457,2023-03,74700.0,0.0,1.1,81073
29,0000004457,2023-06,1500.0,0.0,1.1,81073
30,0000004457,2023-11,265000.0,530000.0,0.9,81073
31,0000004457,2024-02,0.0,3000.0,0.9,81073
32,0000004457,2024-04,100.0,0.0,1.1,81073
33,0000004457,2024-06,10.0,0.0,1.1,81073
34,0000004457,2024-08,680000.0,2040000.0,0.9,81073
35,0000006207,2018-07,29200.0,0.0,1.1,38746
36,0000006207,2018-12,0.0,27467.0,0.9,38746
37,0000006207,2019-02,0.0,15000.0,0.9,38746
38,0000006207,2019-07,9000.0,0.0,1.1,38746
39,0000006207,2019-12,0.0,52390.0,0.9,38746
40,0000006207,2020-03,8771.0,0.0,1.1,38746
41,0000006207,2020-04,4000.0,0.0,1.1,38746
42,0000006207,2020-07,9000.0,0.0,1.1,38746
43,0000006207,2020-10,5500.0,0.0,1.1,38746
44,0000006207,2021-01,1000.0,0.0,1.1,38746
45,0000006207,2021-04,3535.0,0.0,1.1,38746
46,0000006207,2021-07,8500.0,0.0,1.1,38746
47,0000006207,2021-09,1000.0,0.0,1.1,38746
48,0000006207,2021-10,1950.0,0.0,1.1,38746
49,0000006207,2022-01,1551.0,0.0,1.1,38746
50,0000006207,2022-03,0.0,2096061.0,0.9,38746
51,0000006207,2022-04,4000.0,0.0,1.1,38746
52,0000006207,2022-07,10100.0,0.0,1.1,38746
53,0000006207,2022-09,4759.0,0.0,1.1,38746
54,0000006207,2022-10,1000.0,0.0,1.1,38746
55,0000006207,2022-12,1500.0,0.0,1.1,38746
56,0000006207,2023-03,1000.0,0.0,1.1,38746
57,0000006207,2023-04,1000.0,0.0,1.1,38746
58,0000006207,2023-07,37213.0,0.0,1.1,38746
59,0000006207,2023-10,41143.0,0.0,1.1,38746
60,0000006207,2023-11,10000.0,0.0,1.1,38746
61,0000006207,2023-12,14779.0,0.0,1.1,38746
62,0000006207,2024-01,68204.0,0.0,1.1,38746
63,0000006207,2024-03,14179.0,0.0,1.1,38746
64,0000006207,2024-04,17342.0,5366.0,1.1,38746
65,0000006207,2024-05,22221.0,0.0,1.1,38746
66,0000006207,2024-06,10000.0,0.0,1.1,38746
67,0000006207,2024-07,16304.0,0.0,1.1,38746
68,0000006207,2024-08,22132.0,0.0,1.1,38746
69,0000006207,2024-09,5000.0,0.0,1.1,38746
70,0000006207,2024-10,1800.0,0.0,1.1,38746
71,0000012040,2018-04,2000.0,0.0,1.1,54244
72,0000012040,2018-12,1600.0,0.0,1.1,54244
73,0000012040,2020-05,1000.0,0.0,1.1,54244
74,0000012040,2021-06,4000.0,0.0,1.1,54244
75,0000015615,2018-02,3484.0,252513.0,0.9,19880
76,0000015615,2018-03,107295.0,59607.0,1.1,19880
77,0000015615,2018-05,3606.0,2602.0,1.1,19880
78,0000015615,2018-08,3950.0,12852.0,0.9,19880
79,0000015615,2018-11,3796.0,2742.0,1.1,19880
80,0000015615,2018-12,0.0,956694.0,0.9,19880
81,0000015615,2019-02,3293.0,2582.0,1.1,19880
82,0000015615,2019-03,186401.0,0.0,1.1,19880
83,0000015615,2019-05,2990.0,12342.0,0.9,19880
84,0000015615,2019-06,0.0,58423.0,0.9,19880
85,0000015615,2019-08,2421.0,256903.0,0.9,19880
86,0000015615,2019-09,0.0,3000.0,0.9,19880
87,0000015615,2019-11,1993.0,55923.0,0.9,19880
88,0000015615,2020-01,0.0,25001.0,0.9,19880
89,0000015615,2020-02,3199.0,3513.0,0.9,19880
90,0000015615,2020-03,405208.0,0.0,1.1,19880
91,0000015615,2020-05,5840.0,12338.0,0.9,19880
92,0000015615,2020-06,0.0,1000.0,0.9,19880
93,0000015615,2020-08,4181.0,104564.0,0.9,19880
94,0000015615,2020-10,0.0,50001.0,0.9,19880
95,0000015615,2020-11,3593.0,258936.0,0.9,19880
96,0000015615,2020-12,0.0,8301.0,0.9,19880
97,0000015615,2021-01,0.0,300273.0,0.9,19880
98,0000015615,2021-02,1867.0,2463.0,0.9,19880
99,0000015615,2021-03,144814.0,687371.0,0.9,19880
100,0000015615,2021-05,1366.0,4803.0,0.9,19880
101,0000015615,2021-07,0.0,484522.0,0.9,19880
102,0000015615,2021-08,1735.0,2283.0,0.9,19880
103,0000015615,2021-09,1001060.0,0.0,1.1,19880
104,0000015615,2021-11,1725.0,2283.0,0.9,19880
105,0000015615,2022-01,0.0,3241.0,0.9,19880
106,0000015615,2022-02,1740.0,2283.0,0.9,19880
107,0000015615,2022-03,165670.0,481827.0,0.9,19880
108,0000015615,2022-05,2490.0,3644.0,0.9,19880
109,0000015615,2022-08,3083.0,4484.0,0.9,19880
110,0000015615,2022-11,2756.0,4024.0,0.9,19880
111,0000015615,2023-02,2543.0,3694.0,0.9,19880
112,0000015615,2023-03,188463.0,1500755.0,0.9,19880
113,0000015615,2023-05,2612.0,3814.0,0.9,19880
114,0000015615,2023-08,2704.0,3934.0,0.9,19880
115,0000015615,2023-10,0.0,24272.0,0.9,19880
116,0000015615,2023-11,30668.5649,6864.0,1.1,19880
117,0000015615,2024-02,3476.0,5064.0,0.9,19880
118,0000015615,2024-03,208381.0,311193.0,0.9,19880
119,0000015615,2024-04,1600.0,0.0,1.1,19880
120,0000015615,2024-05,2371.0,79500.0,0.9,19880
121,0000015615,2024-08,2448.0,5214.0,0.9,19880
122,0000015615,2024-09,0.0,203002.0,0.9,19880
123,0000015615,2024-10,0.0,10594.0,0.9,19880
124,0000016160,2018-01,24540.0,10139.0,1.1,20598
125,0000016160,2018-02,0.0,500.0,0.9,20598
126,0000016160,2018-04,0.0,2036.0,0.9,20598
127,0000016160,2018-08,25060193.0,15486963.0,1.1,20598
128,0000016160,2018-10,2000.0,0.0,1.1,20598
129,0000016160,2019-01,24762.0,20074.0,1.1,20598
130,0000016160,2019-04,0.0,4500.0,0.9,20598
131,0000016160,2020-01,27684.0,22446.0,1.1,20598
132,0000016160,2020-05,0.0,958.0,0.9,20598
133,0000016160,2020-08,0.0,6900000.0,0.9,20598
134,0000016160,2020-10,2000.0,0.0,1.1,20598
135,0000016160,2021-01,26715.0,9150.0,1.1,20598
136,0000016160,2021-03,2300.0,0.0,1.1,20598
137,0000016160,2022-01,27818.0,9658.0,1.1,20598
138,0000016160,2022-04,0.0,3675.0,0.9,20598
139,0000016160,2022-10,0.0,5000.0,0.9,20598
140,0000016160,2023-01,18819.0,11469.0,1.1,20598
141,0000016160,2023-04,0.0,1201.0,0.9,20598
142,0000016160,2024-01,20407.0,11238.0,1.1,20598
143,0000016160,2024-02,0.0,9228.0,0.9,20598
144,0000016160,2024-07,0.0,1500.0,0.9,20598
145,0000016160,2024-08,0.0,4500.0,0.9,20598
146,0000018172,2018-04,481112.0,0.0,1.1,30402
147,0000018172,2018-12,52.0,52.0,1.0,30402
148,0000018172,2019-05,150001.0,0.0,1.1,30402
149,0000018172,2020-01,6070351.0,0.0,1.1,30402
150,0000018172,2020-03,88661438.0,0.0,1.1,30402
151,0000018172,2020-04,844239.0,0.0,1.1,30402
152,0000018172,2020-10,138962.0,0.0,1.1,30402
153,0000018172,2020-12,0.0,12370434.0,0.9,30402
154,0000024090,2018-06,1567.5929,0.0,1.1,23799
155,0000024090,2018-11,1242.4614,0.0,1.1,23799
156,0000024090,2019-01,134409.0,38163.0,1.1,23799
157,0000024090,2019-02,65225.0,18499.0,1.1,23799
158,0000024090,2019-03,1460.0,0.0,1.1,23799
159,0000024090,2019-04,86.69210000000001,1245.0,0.9,23799
160,0000024090,2019-05,1157.3873,0.0,1.1,23799
161,0000024090,2019-09,1175.0,0.0,1.1,23799
162,0000024090,2019-11,50.6149,0.0,1.1,23799
163,0000024090,2019-12,0.0,39000.0,0.9,23799
164,0000024090,2020-02,144657.0,38164.0,1.1,23799
165,0000024090,2020-03,928.1853,0.0,1.1,23799
166,0000024090,2020-06,13450.6412,0.0,1.1,23799
167,0000024090,2020-08,538216.0,211792.0,1.1,23799
168,0000024090,2020-11,1365.2214,0.0,1.1,23799
169,0000024090,2021-02,48188.0,12580.0,1.1,23799
170,0000024090,2021-04,61911.668300000005,16019.0,1.1,23799
171,0000024090,2021-05,183692.0,4476.0,1.1,23799
172,0000024090,2021-06,12600.0,0.0,1.1,23799
173,0000024090,2021-08,1456.1012,0.0,1.1,23799
174,0000024090,2021-12,1299.9459,0.0,1.1,23799
175,0000024090,2022-01,0.0,8008.0,0.9,23799
176,0000024090,2022-02,27387.514,8342.0,1.1,23799
177,0000024090,2022-03,22135.6593,0.0,1.1,23799
178,0000024090,2022-04,53185.2147,14038.0,1.1,23799
179,0000024090,2022-05,50428.1768,0.0,1.1,23799
180,0000024090,2022-06,21418.2474,0.0,1.1,23799
181,0000024090,2022-07,8442.3115,1948.0,1.1,23799
182,0000024090,2022-09,5969.1894,0.0,1.1,23799
183,0000024090,2022-10,2377.4467,0.0,1.1,23799
184,0000024090,2022-11,49789.4598,0.0,1.1,23799
185,0000024090,2022-12,12203.5881,0.0,1.1,23799
186,0000024090,2023-01,25846.0,8326.0,1.1,23799
187,0000024090,2023-04,25627.1826,6112.0,1.1,23799
188,0000024090,2023-05,70672.9313,0.0,1.1,23799
189,0000024090,2023-06,91294.8502,0.0,1.1,23799
190,0000024090,2023-07,8620.2098,1948.0,1.1,23799
191,0000024090,2023-08,15000.0,0.0,1.1,23799
192,0000024090,2023-09,8782.0612,0.0,1.1,23799
193,0000024090,2024-01,25844.0,8297.0,1.1,23799
194,0000024090,2024-03,24465.718999999997,0.0,1.1,23799
195,0000024090,2024-04,86631.5175,21330.0,1.1,23799
196,0000024090,2024-06,134720.8136,0.3333,1.1,23799
197,0000024090,2024-07,139695.0982,31081.0,1.1,23799
198,0000024090,2024-08,17890.9987,616.0,1.1,23799
199,0000024090,2024-09,77219.0,0.0,1.1,23799
200,0000024090,2024-10,1137.679,0.8085,1.1,23799
201,0000025895,2018-02,0.0,9368.0,0.9,59256
202,0000025895,2018-03,0.0,1823.0,0.9,59256
203,0000025895,2018-04,0.0,16206.0,0.9,59256
204,0000025895,2018-06,5000.0,0.0,1.1,59256
205,0000025895,2018-08,35000.0,7000.0,1.1,59256
206,0000025895,2018-09,0.0,23500.0,0.9,59256
207,0000025895,2019-01,25000.0,0.0,1.1,59256
208,0000025895,2019-04,0.0,3203.0,0.9,59256
209,0000025895,2019-08,53512.0,22000.0,1.1,59256
210,0000025895,2020-06,20000.0,0.0,1.1,59256
211,0000025895,2020-08,50766.0,9314.0,1.1,59256
212,0000025895,2021-01,0.0,11731.0,0.9,59256
213,0000025895,2021-02,10000.0,0.0,1.1,59256
214,0000025895,2021-06,25000.0,10000.0,1.1,59256
215,0000025895,2021-08,51161.0,10996.0,1.1,59256
216,0000025895,2022-02,0.0,100000.0,0.9,59256
217,0000025895,2022-05,0.0,3724.0,0.9,59256
218,0000025895,2022-06,0.0,8699.0,0.9,59256
219,0000025895,2022-08,60110.0,13214.0,1.1,59256
220,0000025895,2023-02,0.0,3265.0,0.9,59256
221,0000025895,2023-03,40000.0,0.0,1.1,59256
222,0000025895,2023-08,123136.0,11724.0,1.1,59256
223,0000025895,2023-11,23180.0,0.0,1.1,59256
224,0000025895,2023-12,18100.0,0.0,1.1,59256
