Company,cik,permno
TREDEGAR CORP,850429,75649
MAVERICK TUBE CORP,869087,76598
BELL MICROPRODUCTS INC,900708,79251
AVENUE A INC,1071806,87587
RESORTQUEST INTERNATIONAL INC,1057507,86028
IMMTECH INTERNATIONAL INC,882509,86829
FAIRMARKET INC,1053676,87768
FEDERAL HOME LOAN MORTGAGE CORP,1026214,75789
INTERWEST HOME MEDICAL INC,789092,83282
MERCURY COMPUTER SYSTEMS,1049521,85738
COSINE COMMUNICATIONS INC,1060824,88622
ONE VOICE TECHNOLOGIES INC,1096088,88738
NHANCEMENT TECHNOLOGIES INC,1025985,84432
MEDICAL ACTION INDUSTRIES INC,748270,10507
LYDALL INC,60977,59774
BERKLEY W R CORP,11544,17743
BIOLASE TECHNOLOGY INC,811240,78071
AMERICAN CAPITAL STRATEGIES LTD,817473,85271
TIDEL TECHNOLOGIES INC,842695,75706
SONUS NETWORKS INC,1105472,88264
DAILY JOURNAL CORP,783412,10355
FLANIGANS ENTERPRISES INC,12040,54244
AVISTA CORP,104918,24969
STERICYCLE INC,861878,83906
NET4MUSIC INC,920707,81691
CENTURYTEL INC,18926,60599
CENTRAL PARKING CORP,949298,82295
SUIZA FOODS CORP,931336,83421
ENDOREX CORP,812796,75549
COMDISCO INC,722487,61524
TERAYON COMMUNICATION SYSTEMS,1052303,86337
DUSA PHARMACEUTICALS INC,879993,77289
AIRNET SYSTEMS INC,1011696,83467
MOTIENT CORP,913665,80036
V3 SEMICONDUCTOR INC,1063199,86538
TFC ENTERPRISES INC,913958,80046
EDGAR ONLINE INC,1080224,86890
HAWKINS CHEMICAL INC,46250,41241
KORN FERRY INTERNATIONAL,56679,86594
TENFOLD CORP,1051118,86922
DOVER DOWNS ENTERTAINMENT INC,1017673,84026
CADAPULT GRAPHIC SYSTEMS INC,1024022,88482
ATCHISON CASTING CORP,911115,79674
SEPRACOR INC,877357,76845
PERFICIENT INC,1085869,87086
RATEXCHANGE CORP,826683,88409
GIGA TRONICS INC,719274,39029
BARRETT BUSINESS SERVICES INC,902791,79249
NOVITRON INTERNATIONAL INC,716646,24097
QUANTUM CORP,709283,87044
MICROMUSE INC,1036425,85836
BANNER ACQUISITION CORP,1852332,22188
CHYRON CORP,20232,68320
CHALONE WINE GROUP LTD,742685,22569
SPHERION CORP,914536,80135
EMMIS COMMUNICATIONS CORP,783005,80297
OUTLOOK GROUP CORP,867490,76623
AMERICAN SUPERCONDUCTOR CORP,880807,77175
FOOD TECHNOLOGY SERVICE INC,868267,77004
INCARA PHARMACEUTICALS CORP,936538,83146
SUPERTEX INC,730000,73681
STRIDE RITE CORP,94887,27764
INDIVIDUAL INVESTOR GROUP INC,880631,77217
STRATUS PROPERTIES INC,885508,77790
NORTECH SYSTEMS INC,722313,79322
ZAMBA CORP,883741,80028
OMNICARE INC,353230,63714
SOUTHWEST WATER CO,92472,71782
CLARCOR INC,20740,23975
DOMINION HOMES INC,917857,80309
UNISYS CORP,746838,10890
CHECKPOINT SYSTEMS INC,215419,22921
INTERGRAPH CORP,351145,44792
FINISHMASTER INC,917321,80243
ENRON CORP,1024401,23317
EMERGING VISION INC,1002554,82713
SUMMIT BANK CORP,820067,84122
COAST DISTRIBUTION SYSTEM INC,728303,24193
GOAMERICA INC,1101268,88165
WATTS INDUSTRIES INC,795403,10606
DIODES INC,29002,44943
MECHANICAL TECHNOLOGY INC,64463,52231
STREICHER MOBILE FUELING INC,1024452,84311
NET2PHONE INC,1086472,87082
C T HOLDINGS INC,1140098,87592
INTERSECTIONS INC,1095277,90129
ATRIX LABORATORIES INC,809875,76306
SPORTSMANS GUIDE INC,791450,85845
PEC SOLUTIONS INC,1103013,88187
DAWSON GEOPHYSICAL CO,351231,29050
CONVERGYS CORP,1062047,86305
TEKGRAF INC,1044167,85583
LECHTERS INC,798186,75655
HON INDUSTRIES INC,48287,42439
SYMMETRICOM INC,82628,70616
COLUMBIA BANKING SYSTEM INC,887343,77679
ROCKY SHOES & BOOTS INC,895456,78908
FUELCELL ENERGY INC,886128,77699
WILSON GREATBATCH TECH,1114483,88615
SUPERCONDUCTOR TECHNOLOGIES INC,895665,79006
AFFYMETRIX INC,913077,83616
EASYRIDERS INC,1065253,86344
WEYCO GROUP INC,106532,38033
VISUAL NETWORKS INC,1000495,85854
COOPER COMPANIES INC,711404,65541
AMERITRANS CAPITAL CORP,1064015,86161
AMERIGON INC,903129,79248
INTRANET SOLUTIONS INC,867347,77512
WINNEBAGO INDUSTRIES INC,107687,51086
SPORT SUPPLY GROUP INC,872855,76609
CORN PRODUCTS INTERNATIONAL INC,1046257,85645
NYFIX INC,99047,79427
SONIC INNOVATIONS INC,1105982,88263
LOOKSMART LTD,1077866,87173
ACETO CORP,2034,10656
DELTAGEN INC,1034072,88515
KRONOS INC,886903,77662
XICOR INC,319191,83863
PEAPACK GLADSTONE FINANCIAL CORP,1050743,88820
BRUNSWICK BANCORP,771614,88848
ALLOU HEALTH & BEAUTY CARE INC,846538,75823
WATSCO INC,105016,66376
PROMEDCO MANAGEMENT CO,1011630,84628
WAYPOINT FINANCIAL CORP,1034650,88749
SPECTRALINK CORP,894268,83418
FOREST OIL CORP,38079,37234
WAVE SYSTEMS CORP,919013,80858
ORBIT FR INC,1037115,85028
CHAMPION ENTERPRISES INC,814068,41419
GREATER BAY BANCORP,775473,83974
OHIO ART CO,73942,56733
LOGICVISION INC,1041418,89172
VIEWCAST COM INC,921313,84547
POLO RALPH LAUREN CORP,1037038,85072
GREEN MOUNTAIN COFFEE INC,909954,79588
STANDARD MOTOR PRODUCTS INC,93389,39220
COMPX INTERNATIONAL INC,1049606,85903
CASTLE A M & CO,18172,30402
ISRAMCO INC,719209,46042
RURAL CELLULAR CORP,869561,83161
HUTTIG BUILDING PRODUCTS INC,1093082,87464
INTEGRA BANK CORP,764241,77181
PARK NATIONAL CORP,805676,76266
COMMSCOPE INC,1035884,85231
STARRETT L S CO,93676,18438
THOMAS & BETTS CORP,97854,38578
HARRINGTON FINANCIAL GROUP INC,934203,83518
HOST AMERICA CORP,809012,86248
GLACIER WATER SERVICES INC,883505,77475
VISTEON CORP,1111335,88319
SPARTAN MOTORS INC,743238,71985
AMKOR TECHNOLOGY INC,1047127,86047
HALL KINION & ASSOCIATES INC,1009657,85292
COMSHARE INC,201513,26279
ZOLTEK COMPANIES INC,890923,78062
WESTERN SIERRA BANCORP,1072688,87098
CROWN CASTLE INTERNATIONAL CORP,1051470,86339
WEST PHARMACEUTICAL SERVICES INC,105770,62498
OPUS360 CORP,1099674,88184
CAPITAL CITY BANK GROUP,726601,84516
WOODHEAD INDUSTRIES INC,108215,83433
INSCI CORP,878612,82712
APACHE MEDICAL SYSTEMS INC,883697,83618
CAL DIVE INTERNATIONAL INC,866829,85168
ANTENNA PRODUCTS INC,724267,46907
MICHAELS STORES INC,740670,53381
U S LABORATORIES INC,1068891,86737
KINARK CORP,55805,33398
DIGITAL RIVER INC,1062530,86322
CONSECO INC,719241,86976
VENTRO CORP,1047499,87058
MYPOINTS COM INC,1082797,87176
HIGHLANDS INSURANCE GROUP INC,1002816,82795
EURONET SERVICES INC,1029199,84606
SIX FLAGS INC,701374,76209
CYRK INC,864264,79376
TECHNE CORP,842023,75694
INDIANA UNITED BANCORP,720002,77256
TANGRAM ENTERPRISE SOLUTIONS INC,804121,10987
DIASYS CORP,916380,81201
GREAT AMERICAN BANCORP INC,943064,81709
NEOSE TECHNOLOGIES INC,877902,83151
UNOVA INC,1044590,85445
HOOPER HOLMES INC,741815,42455
COMDIAL CORP,230131,25073
FURRS RESTAURANT GROUP INC,872548,82792
EVERGREEN RESOURCES INC,353943,33647
EON COMMUNICATIONS CORP,1084752,87604
ROYALE ENERGY INC,864839,81103
SEMCO ENERGY INC,277158,71395
RACING CHAMPIONS CORP,1034239,85034
CAMBREX CORP,820081,11707
ST MARY LAND & EXPLORATION CO,893538,78170
FIRST MIDWEST FINANCIAL INC,907471,79571
FACTSET RESEARCH SYSTEMS INC,1013237,83597
CAPITAL SENIOR LIVING CORP,1043000,85419
GLOBAL TECHNOLOGIES LTD,932021,81486
WEBMD CORP,1009575,86721
BARNES & NOBLE INC,890491,79667
SMITH & WESSON HOLDING CORP,1092796,89606
